LOCATION	Country	SUBJECT	Subject	MEASURE	Measure	TIME	Time	Unit Code	Unit	PowerCode Code	PowerCode	Reference Period Code	Reference Period	Value	Flag Codes	Flags
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1975	1975	NATCUR	National currency	0	Units			7.462047		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1976	1976	NATCUR	National currency	0	Units			8.452602		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1977	1977	NATCUR	National currency	0	Units			9.138227		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1978	1978	NATCUR	National currency	0	Units			10.346489		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1979	1979	NATCUR	National currency	0	Units			11.440955		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1980	1980	NATCUR	National currency	0	Units			12.671673		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1981	1981	NATCUR	National currency	0	Units			14.563851		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1982	1982	NATCUR	National currency	0	Units			16.23572		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1983	1983	NATCUR	National currency	0	Units			17.992612		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1984	1984	NATCUR	National currency	0	Units			19.235071		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1985	1985	NATCUR	National currency	0	Units			20.438539		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1986	1986	NATCUR	National currency	0	Units			21.892458		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1987	1987	NATCUR	National currency	0	Units			23.969341		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1988	1988	NATCUR	National currency	0	Units			26.10402		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1989	1989	NATCUR	National currency	0	Units			27.788241		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1990	1990	NATCUR	National currency	0	Units			29.084982		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1991	1991	NATCUR	National currency	0	Units			30.196582		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1992	1992	NATCUR	National currency	0	Units			31.399083		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1993	1993	NATCUR	National currency	0	Units			31.78851		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1994	1994	NATCUR	National currency	0	Units			32.566705		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1995	1995	NATCUR	National currency	0	Units			34.45732		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1996	1996	NATCUR	National currency	0	Units			36.101654		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1997	1997	NATCUR	National currency	0	Units			37.768389		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1998	1998	NATCUR	National currency	0	Units			39.146576		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1999	1999	NATCUR	National currency	0	Units			40.494468		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2000	2000	NATCUR	National currency	0	Units			42.843126		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2001	2001	NATCUR	National currency	0	Units			45.60082		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2002	2002	NATCUR	National currency	0	Units			47.683457		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2003	2003	NATCUR	National currency	0	Units			50.363428		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2004	2004	NATCUR	National currency	0	Units			52.108691		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2005	2005	NATCUR	National currency	0	Units			54.965851		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2006	2006	NATCUR	National currency	0	Units			57.996181		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2007	2007	NATCUR	National currency	0	Units			61.358122		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2008	2008	NATCUR	National currency	0	Units			66.637614		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2009	2009	NATCUR	National currency	0	Units			66.831032		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2010	2010	NATCUR	National currency	0	Units			72.154094		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2011	2011	NATCUR	National currency	0	Units			74.308637		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2012	2012	NATCUR	National currency	0	Units			75.98356		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2013	2013	NATCUR	National currency	0	Units			78.390733		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2014	2014	NATCUR	National currency	0	Units			78.251658		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2015	2015	NATCUR	National currency	0	Units			79.73609		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2016	2016	NATCUR	National currency	0	Units			82.497529		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2017	2017	NATCUR	National currency	0	Units			84.956074		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2018	2018	NATCUR	National currency	0	Units			87.808116	E	Estimated value
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2019	2019	NATCUR	National currency	0	Units			90.485272	E	Estimated value
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2020	2020	NATCUR	National currency	0	Units			94.032021	E	Estimated value
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	2021	2021	NATCUR	National currency	0	Units			101.364095	E	Estimated value
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1970	1970	NATCUR	National currency	0	Units			7445.454536		
