downloaded from https://www.stat.go.jp/data/roudou/longtime/zuhyou/lt01-a10.xlsx 2011年3月から8月までの期間は，東日本大震災の影響により全国集計結果が存在しないため，補完推計値（2015年国勢調査基準）を用いた（< >内の数値）。
				労働力人口			就業者			雇用者			完全失業者			非労働力人口			完全失業率（％）		
year	month	Mon	star	Labour force			Employed person			Employee			Unemployed person			Not in labour force			Unemployment rate  (percent)		
				男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女
				Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female
	8月	Aug.		6650 	3961 	2689 	6452 	3846 	2606 	5248 	3217 	2031 	198 	115 	84 	3795 	1116 	2678 	3.0 	2.9 	3.1 
	9月	Sept.		6636 	3958 	2677 	6438 	3839 	2599 	5244 	3216 	2028 	198 	119 	79 	3817 	1123 	2694 	3.0 	3.0 	2.9 
	10月	Oct.		6642 	3950 	2693 	6443 	3831 	2613 	5231 	3193 	2038 	199 	119 	81 	3816 	1135 	2681 	3.0 	3.0 	3.0 
	11月	Nov.		6645 	3950 	2695 	6454 	3839 	2615 	5238 	3200 	2039 	191 	111 	81 	3817 	1136 	2681 	2.9 	2.8 	3.0 
	12月	Dec.		6644 	3957 	2687 	6453 	3844 	2610 	5241 	3208 	2033 	190 	112 	77 	3828 	1134 	2694 	2.9 	2.8 	2.9 
平成 7年	1月	Jan.		6652 	3950 	2701 	6455 	3834 	2621 	5238 	3198 	2040 	196 	116 	80 	3824 	1141 	2682 	3.0 	2.9 	3.0 
1995	2月	Feb.		6659 	3948 	2710 	6461 	3833 	2628 	5231 	3199 	2032 	198 	116 	81 	3820 	1144 	2675 	3.0 	2.9 	3.0 
	3月	Mar.		6664 	3960 	2705 	6458 	3839 	2619 	5249 	3210 	2039 	206 	121 	86 	3819 	1138 	2682 	3.1 	3.0 	3.2 
	4月	Apr.		6660 	3955 	2705 	6452 	3833 	2619 	5237 	3198 	2039 	208 	122 	85 	3828 	1143 	2686 	3.1 	3.1 	3.1 
	5月	May		6651 	3949 	2701 	6451 	3834 	2617 	5258 	3206 	2052 	200 	116 	84 	3846 	1151 	2695 	3.0 	2.9 	3.1 
	6月	June		6663 	3964 	2700 	6459 	3847 	2612 	5269 	3222 	2046 	206 	118 	89 	3838 	1140 	2698 	3.1 	3.0 	3.3 
	7月	July		6673 	3975 	2698 	6465 	3852 	2613 	5264 	3223 	2041 	209 	124 	85 	3829 	1129 	2700 	3.1 	3.1 	3.2 
	8月	Aug.		6670 	3973 	2697 	6457 	3850 	2607 	5262 	3221 	2041 	214 	124 	91 	3836 	1133 	2703 	3.2 	3.1 	3.4 
	9月	Sept.		6699 	3987 	2711 	6482 	3864 	2618 	5293 	3234 	2059 	216 	123 	93 	3813 	1122 	2691 	3.2 	3.1 	3.4 
	10月	Oct.		6673 	3983 	2690 	6459 	3857 	2602 	5293 	3233 	2060 	214 	126 	88 	3849 	1131 	2717 	3.2 	3.2 	3.3 
	11月	Nov.		6670 	3977 	2693 	6443 	3840 	2602 	5278 	3220 	2059 	226 	136 	90 	3861 	1141 	2719 	3.4 	3.4 	3.4 
	12月	Dec.		6674 	3971 	2703 	6446 	3834 	2611 	5288 	3220 	2068 	228 	136 	92 	3861 	1149 	2713 	3.4 	3.4 	3.4 
平成 8年	1月	Jan.		6676 	3976 	2700 	6443 	3840 	2603 	5292 	3229 	2063 	232 	136 	97 	3859 	1145 	2714 	3.5 	3.4 	3.6 
1996	2月	Feb.		6664 	3973 	2692 	6440 	3840 	2600 	5294 	3232 	2062 	223 	132 	91 	3869 	1146 	2723 	3.4 	3.3 	3.4 
	3月	Mar.		6688 	3971 	2716 	6471 	3841 	2630 	5311 	3224 	2086 	216 	130 	86 	3852 	1147 	2704 	3.2 	3.3 	3.2 
	4月	Apr.		6701 	3987 	2714 	6476 	3857 	2619 	5309 	3233 	2075 	226 	130 	95 	3846 	1138 	2708 	3.4 	3.3 	3.5 
	5月	May		6687 	3981 	2706 	6459 	3842 	2616 	5308 	3232 	2076 	229 	140 	90 	3868 	1148 	2720 	3.4 	3.5 	3.3 
	6月	June		6718 	3992 	2726 	6491 	3854 	2636 	5329 	3240 	2089 	228 	138 	90 	3844 	1140 	2705 	3.4 	3.5 	3.3 
	7月	July		6739 	4000 	2739 	6512 	3868 	2644 	5332 	3247 	2085 	228 	133 	95 	3826 	1132 	2694 	3.4 	3.3 	3.5 
	8月	Aug.		6726 	4008 	2719 	6505 	3873 	2632 	5333 	3246 	2087 	222 	134 	87 	3845 	1128 	2716 	3.3 	3.3 	3.2 
	9月	Sept.		6742 	4006 	2737 	6521 	3874 	2647 	5343 	3244 	2099 	222 	132 	90 	3834 	1132 	2702 	3.3 	3.3 	3.3 
	10月	Oct.		6737 	4003 	2734 	6509 	3867 	2642 	5323 	3234 	2088 	228 	136 	93 	3845 	1138 	2707 	3.4 	3.4 	3.4 
	11月	Nov.		6728 	4001 	2726 	6506 	3870 	2636 	5340 	3244 	2095 	221 	131 	90 	3859 	1140 	2719 	3.3 	3.3 	3.3 
	12月	Dec.		6731 	4011 	2720 	6502 	3876 	2626 	5355 	3255 	2099 	227 	134 	93 	3859 	1134 	2726 	3.4 	3.3 	3.4 
平成 9年	1月	Jan.		6760 	4024 	2735 	6533 	3890 	2642 	5388 	3273 	2115 	226 	133 	93 	3861 	1135 	2726 	3.3 	3.3 	3.4 
1997	2月	Feb.		6787 	4026 	2761 	6558 	3891 	2666 	5404 	3268 	2136 	230 	135 	95 	3837 	1136 	2700 	3.4 	3.3 	3.4 
	3月	Mar.		6781 	4034 	2747 	6561 	3906 	2656 	5391 	3272 	2119 	221 	130 	91 	3850 	1132 	2718 	3.3 	3.2 	3.3 
	4月	Apr.		6775 	4033 	2742 	6558 	3906 	2652 	5396 	3282 	2115 	219 	127 	92 	3862 	1135 	2727 	3.2 	3.2 	3.3 
	5月	May		6793 	4039 	2753 	6562 	3910 	2653 	5384 	3278 	2106 	232 	131 	101 	3850 	1131 	2719 	3.4 	3.2 	3.7 
	6月	June		6811 	4040 	2772 	6584 	3908 	2676 	5402 	3272 	2130 	228 	132 	96 	3839 	1135 	2703 	3.4 	3.3 	3.5 
	7月	July		6807 	4034 	2773 	6576 	3897 	2680 	5410 	3260 	2149 	230 	137 	93 	3844 	1142 	2703 	3.4 	3.4 	3.4 
	8月	Aug.		6782 	4021 	2761 	6553 	3885 	2668 	5381 	3249 	2132 	229 	136 	93 	3871 	1154 	2718 	3.4 	3.4 	3.4 
	9月	Sept.		6785 	4018 	2769 	6551 	3874 	2677 	5377 	3242 	2136 	234 	142 	92 	3879 	1164 	2715 	3.5 	3.5 	3.3 
	10月	Oct.		6799 	4021 	2777 	6560 	3879 	2681 	5378 	3246 	2132 	238 	141 	96 	3872 	1163 	2710 	3.5 	3.5 	3.5 
	11月	Nov.		6775 	4018 	2757 	6535 	3876 	2659 	5382 	3257 	2124 	239 	141 	98 	3900 	1167 	2733 	3.5 	3.5 	3.5 
	12月	Dec.		6794 	4022 	2773 	6552 	3880 	2673 	5399 	3262 	2137 	239 	142 	98 	3884 	1165 	2719 	3.5 	3.5 	3.5 
平成10年	1月	Jan.		6804 	4020 	2785 	6560 	3871 	2689 	5397 	3245 	2152 	243 	149 	94 	3876 	1166 	2710 	3.6 	3.7 	3.4 
1998	2月	Feb.		6790 	4022 	2768 	6543 	3871 	2672 	5397 	3251 	2146 	246 	151 	96 	3905 	1171 	2734 	3.6 	3.7 	3.5 
	3月	Mar.		6800 	4031 	2769 	6540 	3873 	2667 	5389 	3262 	2126 	262 	158 	103 	3903 	1169 	2734 	3.8 	3.9 	3.7 
	4月	Apr.		6793 	4028 	2765 	6521 	3863 	2657 	5371 	3252 	2118 	273 	166 	108 	3913 	1170 	2743 	4.0 	4.1 	3.9 
	5月	May		6808 	4033 	2775 	6529 	3863 	2666 	5358 	3241 	2117 	278 	169 	109 	3899 	1166 	2733 	4.1 	4.2 	3.9 
	6月	June		6803 	4036 	2767 	6522 	3869 	2654 	5363 	3243 	2120 	281 	167 	113 	3911 	1164 	2746 	4.1 	4.1 	4.1 
	7月	July		6790 	4028 	2762 	6513 	3864 	2649 	5360 	3243 	2118 	277 	164 	114 	3935 	1179 	2756 	4.1 	4.1 	4.1 
	8月	Aug.		6804 	4025 	2779 	6508 	3847 	2661 	5361 	3230 	2130 	296 	178 	118 	3926 	1185 	2742 	4.4 	4.4 	4.2 
	9月	Sept.		6780 	4018 	2761 	6487 	3840 	2647 	5341 	3225 	2116 	293 	179 	114 	3952 	1191 	2761 	4.3 	4.5 	4.1 
	10月	Oct.		6782 	4019 	2764 	6489 	3845 	2644 	5360 	3244 	2116 	293 	175 	120 	3952 	1190 	2761 	4.3 	4.3 	4.3 
	11月	Nov.		6781 	4024 	2758 	6477 	3842 	2635 	5356 	3240 	2116 	305 	182 	123 	3959 	1190 	2769 	4.5 	4.5 	4.4 
	12月	Dec.		6779 	4026 	2752 	6479 	3845 	2635 	5353 	3239 	2115 	300 	183 	118 	3962 	1186 	2775 	4.4 	4.5 	4.3 
平成11年	1月	Jan.		6783 	4040 	2743 	6477 	3853 	2624 	5358 	3251 	2107 	306 	187 	119 	3964 	1176 	2788 	4.5 	4.6 	4.3 
1999	2月	Feb.		6774 	4030 	2743 	6459 	3841 	2618 	5325 	3226 	2100 	314 	189 	125 	3979 	1187 	2793 	4.6 	4.7 	4.6 
	3月	Mar.		6777 	4015 	2762 	6455 	3822 	2633 	5332 	3207 	2125 	319 	191 	128 	3975 	1199 	2777 	4.7 	4.8 	4.6 
	4月	Apr.		6784 	4016 	2769 	6462 	3818 	2644 	5336 	3205 	2131 	321 	197 	124 	3971 	1202 	2769 	4.7 	4.9 	4.5 
	5月	May		6786 	4024 	2762 	6468 	3825 	2644 	5328 	3203 	2125 	317 	199 	118 	3973 	1196 	2777 	4.7 	4.9 	4.3 
	6月	June		6769 	4025 	2744 	6445 	3822 	2623 	5297 	3198 	2099 	324 	203 	121 	3992 	1195 	2797 	4.8 	5.1 	4.4 
	7月	July		6767 	4018 	2749 	6441 	3818 	2623 	5298 	3198 	2099 	328 	201 	127 	4003 	1206 	2797 	4.8 	5.0 	4.6 
	8月	Aug.		6792 	4020 	2773 	6471 	3826 	2645 	5342 	3214 	2128 	321 	194 	127 	3987 	1209 	2778 	4.7 	4.8 	4.6 
	9月	Sept.		6796 	4030 	2766 	6481 	3843 	2639 	5348 	3226 	2122 	315 	187 	128 	3983 	1198 	2784 	4.6 	4.6 	4.6 
	10月	Oct.		6778 	4028 	2750 	6463 	3839 	2624 	5348 	3227 	2122 	315 	188 	125 	4006 	1202 	2804 	4.6 	4.7 	4.6 
	11月	Nov.		6773 	4021 	2752 	6464 	3832 	2632 	5331 	3213 	2119 	309 	190 	119 	4013 	1210 	2803 	4.6 	4.7 	4.3 
	12月	Dec.		6770 	4023 	2747 	6456 	3828 	2627 	5316 	3207 	2108 	315 	195 	119 	4024 	1213 	2811 	4.7 	4.8 	4.3 
平成12年	1月	Jan.		6769 	4020 	2749 	6450 	3824 	2627 	5323 	3208 	2114 	318 	196 	122 	4028 	1216 	2812 	4.7 	4.9 	4.4 
2000	2月	Feb.		6759 	4020 	2740 	6430 	3814 	2616 	5324 	3207 	2117 	328 	205 	124 	4050 	1222 	2828 	4.9 	5.1 	4.5 
	3月	Mar.		6742 	4011 	2731 	6414 	3806 	2608 	5314 	3202 	2112 	327 	204 	123 	4064 	1229 	2835 	4.9 	5.1 	4.5 
	4月	Apr.		6763 	4006 	2757 	6438 	3810 	2628 	5314 	3189 	2125 	324 	196 	128 	4051 	1237 	2814 	4.8 	4.9 	4.6 
	5月	May		6758 	4007 	2750 	6445 	3818 	2626 	5358 	3217 	2142 	313 	189 	124 	4058 	1237 	2822 	4.6 	4.7 	4.5 
	6月	June		6752 	4001 	2751 	6436 	3810 	2627 	5356 	3217 	2140 	316 	191 	125 	4069 	1244 	2825 	4.7 	4.8 	4.5 
	7月	July		6754 	3999 	2754 	6438 	3804 	2635 	5347 	3207 	2140 	315 	195 	120 	4068 	1245 	2823 	4.7 	4.9 	4.4 
	8月	Aug.		6752 	4003 	2748 	6438 	3811 	2628 	5348 	3214 	2135 	313 	192 	120 	4074 	1242 	2832 	4.6 	4.8 	4.4 
	9月	Sept.		6768 	4017 	2751 	6451 	3822 	2629 	5389 	3237 	2152 	317 	194 	122 	4062 	1231 	2831 	4.7 	4.8 	4.4 
	10月	Oct.		6789 	4027 	2762 	6472 	3831 	2641 	5400 	3236 	2165 	317 	196 	121 	4045 	1224 	2821 	4.7 	4.9 	4.4 
	11月	Nov.		6798 	4031 	2768 	6476 	3834 	2642 	5401 	3235 	2166 	322 	198 	126 	4043 	1223 	2820 	4.7 	4.9 	4.5 
	12月	Dec.		6787 	4020 	2766 	6462 	3822 	2640 	5388 	3223 	2165 	325 	198 	126 	4070 	1240 	2830 	4.8 	4.9 	4.6 
平成13年	1月	Jan.		6783 	4003 	2781 	6457 	3805 	2653 	5381 	3204 	2177 	326 	198 	128 	4072 	1256 	2816 	4.8 	4.9 	4.6 
2001	2月	Feb.		6790 	4004 	2787 	6470 	3809 	2662 	5404 	3223 	2181 	320 	194 	125 	4059 	1253 	2806 	4.7 	4.8 	4.5 
	3月	Mar.		6767 	4005 	2762 	6445 	3809 	2635 	5384 	3228 	2156 	322 	196 	126 	4094 	1257 	2837 	4.8 	4.9 	4.6 
	4月	Apr.		6754 	4005 	2749 	6427 	3802 	2626 	5383 	3220 	2161 	326 	203 	124 	4112 	1260 	2852 	4.8 	5.1 	4.5 
	5月	May		6755 	3997 	2758 	6421 	3791 	2630 	5394 	3215 	2179 	334 	205 	128 	4118 	1270 	2848 	4.9 	5.1 	4.6 
	6月	June		6738 	3983 	2755 	6404 	3779 	2626 	5389 	3213 	2175 	334 	205 	130 	4135 	1285 	2852 	5.0 	5.1 	4.7 
	7月	July		6742 	3989 	2752 	6402 	3781 	2622 	5369 	3202 	2167 	338 	208 	130 	4138 	1281 	2858 	5.0 	5.2 	4.7 
	8月	Aug.		6739 	3994 	2744 	6397 	3786 	2611 	5359 	3202 	2157 	341 	208 	133 	4144 	1276 	2867 	5.1 	5.2 	4.8 
	9月	Sept.		6721 	3979 	2743 	6367 	3765 	2602 	5337 	3187 	2151 	354 	213 	141 	4164 	1293 	2871 	5.3 	5.4 	5.1 
	10月	Oct.		6725 	3974 	2751 	6372 	3753 	2618 	5341 	3177 	2164 	354 	221 	133 	4168 	1302 	2866 	5.3 	5.6 	4.8 
	11月	Nov.		6765 	3987 	2778 	6402 	3763 	2640 	5345 	3173 	2172 	364 	225 	139 	4139 	1292 	2847 	5.4 	5.6 	5.0 
	12月	Dec.		6745 	3981 	2765 	6382 	3754 	2627 	5341 	3173 	2168 	366 	227 	139 	4162 	1301 	2861 	5.4 	5.7 	5.0 
平成14年	1月	Jan.		6716 	3973 	2743 	6365 	3757 	2607 	5337 	3182 	2155 	351 	215 	136 	4192 	1315 	2876 	5.2 	5.4 	5.0 
2002	2月	Feb.		6721 	3971 	2750 	6363 	3758 	2606 	5332 	3175 	2157 	357 	213 	144 	4188 	1314 	2874 	5.3 	5.4 	5.2 
	3月	Mar.		6719 	3975 	2743 	6360 	3761 	2600 	5339 	3180 	2158 	357 	215 	143 	4188 	1308 	2880 	5.3 	5.4 	5.2 
	4月	Apr.		6688 	3962 	2727 	6334 	3743 	2590 	5335 	3176 	2159 	353 	217 	136 	4216 	1320 	2896 	5.3 	5.5 	5.0 
	5月	May		6669 	3946 	2724 	6307 	3725 	2582 	5296 	3151 	2145 	361 	220 	141 	4244 	1341 	2903 	5.4 	5.6 	5.2 
	6月	June		6678 	3952 	2726 	6313 	3732 	2581 	5322 	3169 	2153 	366 	219 	145 	4243 	1338 	2905 	5.5 	5.6 	5.3 
	7月	July		6682 	3960 	2723 	6324 	3743 	2581 	5351 	3188 	2163 	359 	217 	141 	4240 	1330 	2909 	5.4 	5.5 	5.2 
	8月	Aug.		6690 	3963 	2727 	6324 	3736 	2588 	5348 	3183 	2164 	368 	229 	139 	4232 	1328 	2904 	5.5 	5.8 	5.1 
	9月	Sept.		6683 	3952 	2732 	6322 	3727 	2595 	5335 	3162 	2173 	362 	226 	136 	4246 	1343 	2903 	5.4 	5.7 	5.0 
	10月	Oct.		6684 	3953 	2732 	6324 	3729 	2595 	5321 	3157 	2163 	360 	224 	137 	4249 	1344 	2906 	5.4 	5.7 	5.0 
	11月	Nov.		6673 	3931 	2742 	6324 	3715 	2609 	5329 	3149 	2179 	349 	217 	132 	4252 	1360 	2892 	5.2 	5.5 	4.8 
	12月	Dec.		6669 	3933 	2737 	6312 	3715 	2597 	5330 	3162 	2168 	360 	219 	141 	4256 	1358 	2899 	5.4 	5.6 	5.2 
平成15年	1月	Jan.		6663 	3936 	2727 	6300 	3719 	2581 	5328 	3165 	2163 	362 	217 	145 	4265 	1354 	2912 	5.4 	5.5 	5.3 
2003	2月	Feb.		6656 	3937 	2718 	6306 	3724 	2581 	5324 	3162 	2163 	349 	213 	137 	4276 	1357 	2920 	5.2 	5.4 	5.0 
	3月	Mar.		6691 	3949 	2743 	6326 	3720 	2606 	5341 	3157 	2184 	364 	227 	135 	4250 	1352 	2897 	5.4 	5.7 	4.9 
	4月	Apr.		6672 	3940 	2732 	6305 	3715 	2590 	5321 	3156 	2165 	365 	224 	140 	4269 	1358 	2910 	5.5 	5.7 	5.1 
	5月	May		6672 	3945 	2728 	6309 	3721 	2589 	5321 	3160 	2161 	363 	224 	139 	4275 	1355 	2920 	5.4 	5.7 	5.1 
	6月	June		6710 	3955 	2756 	6351 	3729 	2621 	5345 	3157 	2188 	361 	225 	136 	4250 	1353 	2896 	5.4 	5.7 	4.9 
	7月	July		6678 	3935 	2743 	6331 	3722 	2608 	5352 	3166 	2186 	348 	213 	135 	4282 	1372 	2911 	5.2 	5.4 	4.9 
	8月	Aug.		6649 	3923 	2728 	6312 	3715 	2597 	5332 	3152 	2180 	339 	208 	130 	4311 	1384 	2928 	5.1 	5.3 	4.8 
	9月	Sept.		6654 	3925 	2729 	6310 	3711 	2599 	5321 	3147 	2173 	344 	214 	130 	4307 	1381 	2926 	5.2 	5.5 	4.8 
	10月	Oct.		6645 	3918 	2727 	6306 	3711 	2596 	5320 	3145 	2176 	338 	208 	130 	4316 	1388 	2929 	5.1 	5.3 	4.8 
	11月	Nov.		6651 	3926 	2724 	6311 	3718 	2592 	5347 	3164 	2183 	340 	208 	133 	4314 	1383 	2931 	5.1 	5.3 	4.9 
	12月	Dec.		6659 	3922 	2737 	6333 	3723 	2610 	5373 	3168 	2205 	327 	200 	127 	4299 	1382 	2916 	4.9 	5.1 	4.6 
平成16年	1月	Jan.		6646 	3915 	2731 	6320 	3715 	2605 	5353 	3160 	2193 	326 	200 	126 	4320 	1392 	2928 	4.9 	5.1 	4.6 
2004	2月	Feb.		6650 	3913 	2737 	6320 	3710 	2610 	5349 	3155 	2194 	329 	203 	126 	4316 	1393 	2924 	5.0 	5.2 	4.6 
	3月	Mar.		6655 	3904 	2751 	6339 	3710 	2628 	5353 	3143 	2211 	316 	194 	123 	4321 	1406 	2916 	4.8 	5.0 	4.5 
	4月	Apr.		6668 	3921 	2747 	6350 	3727 	2623 	5370 	3161 	2208 	319 	195 	125 	4325 	1398 	2927 	4.8 	5.0 	4.5 
	5月	May		6640 	3912 	2728 	6331 	3724 	2606 	5368 	3171 	2197 	310 	188 	122 	4343 	1401 	2942 	4.7 	4.8 	4.5 
	6月	June		6623 	3898 	2725 	6312 	3706 	2606 	5341 	3144 	2197 	312 	192 	119 	4345 	1408 	2937 	4.7 	4.9 	4.4 
	7月	July		6648 	3905 	2742 	6324 	3703 	2621 	5354 	3143 	2210 	324 	203 	121 	4325 	1403 	2922 	4.9 	5.2 	4.4 
	8月	Aug.		6668 	3911 	2755 	6348 	3718 	2630 	5370 	3153 	2217 	319 	193 	125 	4310 	1401 	2909 	4.8 	4.9 	4.5 
	9月	Sept.		6638 	3892 	2745 	6330 	3703 	2628 	5345 	3135 	2210 	306 	190 	117 	4339 	1420 	2919 	4.6 	4.9 	4.3 
	10月	Oct.		6627 	3886 	2741 	6323 	3701 	2622 	5351 	3142 	2210 	304 	185 	118 	4353 	1424 	2929 	4.6 	4.8 	4.3 
	11月	Nov.		6615 	3900 	2715 	6317 	3716 	2601 	5355 	3161 	2194 	298 	184 	114 	4369 	1414 	2955 	4.5 	4.7 	4.2 
	12月	Dec.		6632 	3907 	2725 	6336 	3725 	2610 	5357 	3159 	2199 	296 	182 	114 	4355 	1409 	2945 	4.5 	4.6 	4.2 
平成17年	1月	Jan.		6657 	3908 	2750 	6360 	3724 	2636 	5354 	3144 	2210 	297 	182 	114 	4331 	1405 	2925 	4.5 	4.7 	4.2 
2005	2月	Feb.		6640 	3897 	2743 	6334 	3709 	2627 	5344 	3137 	2208 	306 	188 	117 	4353 	1418 	2935 	4.6 	4.8 	4.3 
	3月	Mar.		6618 	3888 	2730 	6320 	3706 	2614 	5354 	3148 	2205 	298 	182 	116 	4367 	1422 	2945 	4.5 	4.7 	4.3 
	4月	Apr.		6639 	3892 	2747 	6342 	3712 	2630 	5385 	3160 	2225 	297 	180 	117 	4348 	1421 	2928 	4.5 	4.6 	4.3 
	5月	May		6667 	3899 	2768 	6368 	3717 	2650 	5401 	3156 	2245 	300 	182 	118 	4329 	1420 	2909 	4.5 	4.7 	4.3 
	6月	June		6639 	3895 	2744 	6355 	3721 	2634 	5384 	3157 	2228 	284 	175 	108 	4352 	1420 	2932 	4.3 	4.5 	4.0 
	7月	July		6661 	3900 	2760 	6365 	3724 	2641 	5389 	3159 	2230 	295 	176 	119 	4334 	1417 	2917 	4.4 	4.5 	4.3 
	8月	Aug.		6648 	3895 	2754 	6361 	3721 	2640 	5387 	3158 	2229 	287 	173 	113 	4351 	1423 	2927 	4.3 	4.4 	4.1 
	9月	Sept.		6681 	3917 	2763 	6399 	3750 	2650 	5447 	3194 	2253 	281 	168 	112 	4323 	1402 	2921 	4.2 	4.3 	4.1 
	10月	Oct.		6678 	3916 	2761 	6382 	3740 	2641 	5446 	3192 	2253 	295 	175 	119 	4326 	1405 	2921 	4.4 	4.5 	4.3 
	11月	Nov.		6644 	3905 	2740 	6343 	3727 	2617 	5406 	3180 	2227 	301 	178 	122 	4360 	1415 	2945 	4.5 	4.6 	4.5 
	12月	Dec.		6640 	3902 	2738 	6350 	3726 	2624 	5420 	3182 	2239 	291 	175 	115 	4367 	1421 	2947 	4.4 	4.5 	4.2 
平成18年	1月	Jan.		6661 	3903 	2758 	6369 	3721 	2649 	5451 	3185 	2265 	294 	183 	111 	4345 	1417 	2928 	4.4 	4.7 	4.0 
2006	2月	Feb.		6656 	3897 	2758 	6383 	3724 	2658 	5471 	3190 	2281 	274 	173 	101 	4353 	1423 	2929 	4.1 	4.4 	3.7 
	3月	Mar.		6650 	3907 	2743 	6374 	3737 	2636 	5468 	3201 	2267 	275 	170 	106 	4372 	1422 	2949 	4.1 	4.4 	3.9 
	4月	Apr.		6629 	3893 	2736 	6357 	3726 	2630 	5453 	3192 	2261 	272 	166 	106 	4381 	1429 	2951 	4.1 	4.3 	3.9 
	5月	May		6651 	3896 	2754 	6379 	3732 	2647 	5479 	3203 	2277 	271 	164 	107 	4366 	1428 	2938 	4.1 	4.2 	3.9 
	6月	June		6666 	3907 	2759 	6383 	3740 	2643 	5491 	3215 	2276 	283 	167 	116 	4359 	1423 	2937 	4.2 	4.3 	4.2 
	7月	July		6663 	3904 	2760 	6389 	3739 	2650 	5477 	3199 	2279 	275 	165 	109 	4362 	1426 	2935 	4.1 	4.2 	4.0 
	8月	Aug.		6670 	3904 	2767 	6396 	3736 	2661 	5479 	3196 	2282 	273 	168 	106 	4353 	1425 	2929 	4.1 	4.3 	3.8 
	9月	Sept.		6680 	3908 	2773 	6406 	3741 	2665 	5495 	3206 	2290 	274 	167 	107 	4347 	1422 	2925 	4.1 	4.3 	3.9 
	10月	Oct.		6695 	3913 	2783 	6421 	3744 	2677 	5498 	3206 	2293 	273 	168 	105 	4335 	1418 	2916 	4.1 	4.3 	3.8 
	11月	Nov.		6685 	3903 	2782 	6417 	3739 	2680 	5492 	3194 	2298 	267 	164 	102 	4352 	1430 	2922 	4.0 	4.2 	3.7 
	12月	Dec.		6667 	3902 	2764 	6400 	3739 	2661 	5484 	3197 	2287 	266 	163 	103 	4366 	1429 	2936 	4.0 	4.2 	3.7 
平成19年	1月	Jan.		6646 	3904 	2741 	6381 	3745 	2635 	5503 	3224 	2281 	267 	160 	107 	4395 	1436 	2959 	4.0 	4.1 	3.9 
2007	2月	Feb.		6681 	3924 	2757 	6416 	3767 	2650 	5532 	3240 	2292 	268 	159 	111 	4368 	1422 	2946 	4.0 	4.1 	4.0 
	3月	Mar.		6694 	3924 	2770 	6423 	3761 	2663 	5532 	3234 	2298 	268 	161 	108 	4355 	1420 	2935 	4.0 	4.1 	3.9 
	4月	Apr.		6694 	3921 	2774 	6436 	3764 	2672 	5544 	3238 	2306 	257 	157 	102 	4362 	1426 	2935 	3.8 	4.0 	3.7 
	5月	May		6690 	3918 	2772 	6436 	3767 	2671 	5537 	3231 	2306 	253 	151 	102 	4364 	1429 	2935 	3.8 	3.9 	3.7 
	6月	June		6694 	3924 	2770 	6449 	3775 	2675 	5549 	3240 	2309 	244 	149 	95 	4366 	1424 	2941 	3.7 	3.8 	3.4 
	7月	July		6682 	3922 	2761 	6443 	3776 	2667 	5546 	3243 	2304 	240 	147 	93 	4380 	1428 	2952 	3.6 	3.8 	3.4 
	8月	Aug.		6677 	3912 	2765 	6429 	3766 	2664 	5547 	3241 	2306 	248 	146 	101 	4389 	1440 	2948 	3.7 	3.7 	3.7 
	9月	Sept.		6670 	3915 	2756 	6408 	3760 	2649 	5514 	3233 	2282 	262 	154 	106 	4394 	1437 	2957 	3.9 	4.0 	3.9 
	10月	Oct.		6686 	3918 	2769 	6420 	3760 	2661 	5526 	3228 	2297 	265 	157 	107 	4381 	1435 	2945 	4.0 	4.0 	3.9 
	11月	Nov.		6703 	3915 	2788 	6447 	3762 	2684 	5565 	3235 	2329 	255 	152 	103 	4365 	1439 	2926 	3.8 	3.9 	3.7 
	12月	Dec.		6702 	3909 	2794 	6450 	3759 	2692 	5553 	3234 	2319 	251 	149 	102 	4374 	1447 	2927 	3.7 	3.8 	3.7 
平成20年	1月	Jan.		6683 	3910 	2773 	6424 	3754 	2670 	5530 	3219 	2310 	261 	157 	104 	4394 	1446 	2947 	3.9 	4.0 	3.8 
2008	2月	Feb.		6669 	3913 	2756 	6406 	3755 	2651 	5519 	3220 	2299 	267 	161 	107 	4406 	1443 	2964 	4.0 	4.1 	3.9 
	3月	Mar.		6672 	3899 	2774 	6413 	3748 	2666 	5527 	3221 	2307 	256 	150 	108 	4403 	1455 	2945 	3.8 	3.9 	3.9 
	4月	Apr.		6690 	3908 	2783 	6426 	3754 	2674 	5546 	3226 	2321 	263 	153 	110 	4386 	1447 	2938 	3.9 	3.9 	3.9 
	5月	May		6694 	3921 	2774 	6429 	3760 	2671 	5556 	3235 	2321 	264 	161 	104 	4384 	1436 	2948 	4.0 	4.1 	3.7 
	6月	June		6689 	3904 	2786 	6424 	3744 	2679 	5561 	3225 	2336 	266 	160 	108 	4390 	1455 	2935 	4.0 	4.1 	3.8 
	7月	July		6667 	3892 	2775 	6406 	3739 	2668 	5550 	3226 	2324 	262 	155 	108 	4415 	1466 	2951 	3.9 	4.0 	3.9 
	8月	Aug.		6672 	3911 	2763 	6403 	3748 	2657 	5558 	3237 	2322 	270 	164 	107 	4411 	1448 	2963 	4.1 	4.2 	3.9 
