Country	Albania	Algeria	Armenia, Rep. of	Australia	Austria	Azerbaijan, Rep. of	Belarus, Rep. of	Belgium	Bosnia and Herzegovina	Brazil	Bulgaria	Canada	Central African Rep.	Chile	China, P.R.: Hong Kong	China, P.R.: Mainland	Colombia	Congo, Rep. of	Costa Rica	Croatia, Rep. of	Cyprus	Czech Rep.	Denmark	Ecuador	El Salvador	Estonia, Rep. of	Ethiopia, The Federal Dem. Rep. of	Euro Area	Finland	France	Gabon	Georgia	Germany	Ghana	Greece	Guatemala	Hungary	Iceland	Iran, Islamic Rep. of	Ireland	Israel	Italy	Japan	Jordan	Kazakhstan, Rep. of	Korea, Rep. of	Kosovo, Rep. of	Kyrgyz Rep.	Latvia	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Montenegro	Morocco	Netherlands, The	New Zealand	Nicaragua	North Macedonia, Republic of	Norway	Oman	Paraguay	Philippines	Poland, Rep. of	Portugal	Romania	Russian Federation	Senegal	Serbia, Rep. of	Slovak Rep.	Slovenia, Rep. of	South Africa	Spain	Sudan	Sweden	Switzerland	Thailand	Trinidad and Tobago	Tunisia	Turkey	Ukraine	United Kingdom	United States	Uruguay	Uzbekistan, Rep. of	Vietnam	West Bank and Gaza	Zambia	Advanced Economies
Base Year	2010	2010	2010	2010	2010	2010	2010	2010		2010	2010	2010	2005	2010	2010		2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1985	2010	2010	2010	2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1975	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1990	
2013M10	101.56		126.50		103.83	127.54	352.99	110.95	102.34	125.75	111.11	108.09		100.04		102.09	107.03		116.58	111.50	108.85	107.96	113.26	109.45	111.18	111.66		106.54	106.20	106.40		111.28	106.61	163.72	111.18		108.18	103.40	251.89	101.86	112.65	106.57	102.46	115.54	133.03	105.33		107.57	114.27	113.49	104.14	109.39	97.13	117.86	111.78	107.12	113.16	108.99		132.81	111.08	121.27		119.49	92.25	109.10	108.76	114.66	132.33	108.51	123.18	104.84	105.10	136.43	109.77		96.64	98.37	106.87		113.46	126.03	123.78	115.20	107.77	134.00	160.51				
2013M11	101.74		126.05		103.73	136.44	356.17	110.84	103.07	125.90	111.21	108.19		99.90		102.09	106.80		116.62	110.76	107.13	108.80	112.51	109.22	111.22	111.12		106.44	105.90	106.92		111.33	106.50	166.30	111.19		107.86	104.33	255.64	101.86	111.98	106.47	102.46	114.26	132.38	105.12		108.19	114.04	113.49	103.84	110.19	97.70	118.83	112.13	107.12	112.86	108.99		136.36	110.66	121.93		120.39	92.37	108.80	107.83	114.67	130.40	107.95	122.92	104.25	104.96	136.60	109.02		97.03	98.28	106.77		113.16	126.81	122.18	114.01	107.47	133.49	161.86				
2013M12	101.83		126.86		103.62	138.57	360.48	111.05	102.86	126.89	111.00	108.99		101.61		102.09	106.56		116.78	110.97	106.93	109.63	112.61	111.31	111.40	109.94		106.54	105.70	107.02		111.22	106.61	178.15	111.36		108.39	101.97	257.03	99.84	112.31	106.37	102.76	114.26	132.06	105.36		105.94	113.25	113.59	103.74	112.19	97.70	118.31	112.61	107.26	113.16	109.30		138.05	109.92	123.89		120.73	92.74	108.70	108.35	114.75	132.02	108.05	123.43	103.95	104.72	137.25	109.88		98.11	98.37	107.67		113.26	128.21	122.98	114.80	107.38	131.23	162.09				
2014	102.85	106.13	130.95	107.24	102.91	127.59	386.96	108.50		128.40	110.79	111.26		92.89	103.29		110.47		121.60	109.73	106.83	107.82	111.79	114.00	112.41	109.50	163.12	105.66	105.60	105.54		115.57	105.84	206.43	111.06		108.90	104.81	254.37	100.79	111.36	105.79	105.07	115.06	143.71	105.17	110.87	112.21	114.09	110.70	102.95	110.43	97.14	118.13	114.58	108.09	112.65	108.28	107.44	145.48	109.63	118.56	124.57	120.23	91.89	107.92	106.99	115.12	137.59	108.45	125.03	101.77	104.01	131.74	108.38		98.00	97.72	107.00	111.34	115.51	135.76	144.51	106.84	108.94	141.59	173.99	133.13	108.05		106.29
2014Q1	103.40	105.73	127.95	107.08	103.25	137.77	368.23	110.26	103.08	128.70	110.82	111.72		91.62	103.06		109.18		118.99	110.59	106.32	108.20	112.90	111.87	111.68	109.69		106.09	105.70	106.44		114.10	106.40	183.42	110.88		109.44	99.91	259.46	99.95	112.20	106.30	102.83	116.58	138.98	105.72	109.77	108.90	114.08	112.92	103.63	113.06	97.83	117.95	113.77	107.68	113.19	109.09	109.18	141.30	109.85	122.66	129.86	121.25	92.68	108.57	107.49	115.09		108.26	123.89	102.73	104.15	137.65	107.96		97.65	98.19	108.17	111.18	113.06	134.02	124.60	108.45	108.26	136.65	165.35		108.06		
2014M01	101.83		128.26		103.52	138.16	365.01	110.53	103.70	128.80	111.11	110.59		91.54		101.99	107.53		117.23	110.76	106.22	108.27	112.72	110.88	111.31	110.26		106.33	105.80	106.61		113.78	106.50	178.13	111.70		109.15	100.32	258.14	100.27	112.43	106.37	102.97	117.02	133.92	105.64		105.13	114.04	112.59	104.76	111.89	97.80	117.86	113.21	107.39	112.55	109.30		139.96	109.61	124.43		121.29	92.31	108.70	107.83	115.33	132.53	108.05	123.81	103.36	104.71	138.72	108.60		98.01	98.37	108.07		113.36	132.47	123.58	108.52	107.77	132.48	164.39				
2014M02	102.11		128.39		103.22	138.45	368.42	110.43	103.07	129.22	110.89	111.99		92.59		101.79	109.11		118.92	110.66	106.42	108.27	113.58	112.49	111.82	109.94		106.12	105.90	106.51		114.61	106.50	183.21	110.11		109.90	100.17	259.11	100.05	111.75	106.37	102.76	116.12	135.99	105.78		108.71	114.16	112.79	103.63	113.39	97.80	117.86	114.00	107.73	112.15	109.30		141.50	109.71	123.56		121.51	92.80	108.60	107.62	115.10	132.02	108.32	123.81	102.57	103.89	140.35	107.53		97.52	98.09	108.17		112.86	134.30	123.38	108.42	108.16	139.43	165.16				
2014M03	102.02		127.85		103.02	136.70	371.26	109.81	102.23	129.05	110.45	112.59		90.74		101.48	110.90		120.81	110.34	106.32	108.07	112.40	112.23	111.90	108.87		105.81	105.40	106.19		113.92	106.19	188.93	110.82		109.26	99.25	260.36	99.52	112.43	106.16	102.76	116.60	147.02	105.73		112.86	114.04	113.39	102.51	113.89	97.89	118.14	114.09	107.93	112.25	108.68		142.43	110.24	119.97		120.95	92.92	108.40	107.00	114.84	135.17	108.42	124.06	102.27	103.84	142.14	107.74		97.42	98.09	108.27		112.96	135.29	126.78	108.42	108.85	138.05	166.50				
2014Q2	103.00	106.03	133.34	106.98	102.98	139.71	378.82	109.09	102.10	127.22	110.63	111.89		90.96	104.77		110.46		122.37	110.16	106.72	108.07	112.94	113.13	112.13	109.47		105.78	105.67	105.47		115.38	105.95	195.88	112.68		108.14	101.25	274.11	100.05	111.79	106.06	105.98	115.63	148.83	105.58	109.47	112.41	114.04	112.32	102.34	112.22	96.69	118.29	114.20	107.97	111.68	109.33	108.07	148.26	110.38	118.88	127.66	120.05	91.85	108.07	107.35	115.94		108.42	124.32	102.17	103.82	141.05	108.63		97.62	97.90	108.61	111.30	114.53	134.96	140.07	107.66	109.14	138.41	170.01		105.88		
2014M04			131.73		103.02	136.70	375.25	108.99	102.13	127.79	110.45	112.29		90.12		101.18	110.77		121.69	110.23	106.32	108.07	112.72	113.37	111.92	108.97		105.71	105.40	105.67		114.85	106.09	193.76	112.32		108.39	99.76	266.90	99.95	111.98	106.06	105.74	115.17	147.49	105.57		112.68	114.27	112.59	102.20	113.09	96.28	118.20	114.15	107.99	112.15	109.19		146.13	110.03	119.42		120.28	92.68	108.30	106.90	116.18	135.99	107.95	124.06	102.17	103.76	143.61	107.85		96.93	97.90	108.67		113.56	135.41	134.48	107.92	109.05	137.55	168.38				
2014M05			134.76		102.92	139.95	378.87	108.99	101.81	127.61	110.78	111.59		91.59		101.18	110.56		122.62	110.34	107.03	108.07	113.58	112.93	112.23	109.83		105.71	105.60	105.26		115.54	105.88	196.26	112.68		107.53	101.50	276.91	99.95	111.98	105.96	106.05	115.75	148.46	105.55		112.79	113.59	112.09	102.31	112.19	97.04	118.21	114.46	107.93	110.11	109.30		150.82	110.77	118.33		119.94	91.70	108.00	107.31	115.97	136.70	108.14	124.32	102.37	103.73	143.77	108.60		98.01	97.90	109.17		114.86	134.70	140.38	107.72	109.14	138.33	170.35				
2014M06			134.21		103.02	142.49	382.35	109.30	102.13	127.23	110.67	111.79		91.17		100.88	110.04		122.79	109.92	106.82	108.07	112.51	113.08	112.25	109.62		105.92	106.00	105.47		115.74	105.88	197.62	113.06		108.50	102.48	277.74	100.27	111.41	106.16	106.15	115.96	150.53	105.60		111.74	114.27	112.29	102.51	111.39	96.75	118.46	113.99	107.99	110.21	109.50		147.83	110.35	118.88		119.94	91.16	107.90	107.83	115.67	137.82	109.16	124.57	101.98	103.96	144.26	109.45		97.91	97.90	107.97		115.16	134.78	145.29	107.32	109.24	139.36	171.30				
2014Q3	103.10	106.31	134.47	107.29	102.88	131.37	394.13	108.47	102.31	126.97	111.07	111.56		94.71	103.77		110.48		122.50	109.81	107.94	108.27	112.15	116.20	112.94	110.19		105.74	106.07	105.22		116.00	105.71	221.20	112.25		109.47	106.38	284.59	100.87	111.15	105.75	106.46	116.00	150.53	105.48	110.77	113.31	114.42	111.86	102.54	109.92	96.28	118.23	114.84	108.30	111.34	109.09	106.45	147.14	109.71	117.64	127.32	118.78	91.83	108.03	107.93	115.34		109.44	125.84	101.35	104.03	142.12	109.27		98.37	97.68	106.47	111.41	116.29	136.53	153.04	106.49	109.47	144.71	176.05		108.43		
2014M07			134.03		102.92	137.01	388.79	108.78	102.13	126.50	110.89	111.49		93.46		100.78	109.68		122.32	110.13	108.04	108.38	112.61	114.10	112.93	110.15		105.81	106.00	105.26		115.69	105.78	217.51	112.32		108.93	103.30	281.91	100.27	110.74	105.75	106.56	116.33	152.68	105.68		112.97	114.38	112.59	102.00	110.99	95.99	118.43	114.48	107.99	110.72	109.50		147.93	110.03	118.22		118.60	90.85	107.90	108.14	115.63	140.05	109.71	125.33	101.68	104.01	144.91	109.56		97.81	97.81	107.17		116.06	135.76	149.19	106.52	109.64	141.85	173.19				
2014M08			135.92		102.81	131.18	393.17	108.37	102.13	127.06	111.00	111.79		95.08		100.68	110.52		122.57	109.60	108.24	108.38	111.75	118.10	112.91	110.15		105.60	106.00	104.95		115.36	105.67	221.66	112.21		109.69	106.99	284.55	100.58	111.19	105.75	106.46	116.44	151.51	105.57		112.63	114.38	111.69	102.41	109.59	95.99	118.14	114.93	108.46	110.41	108.99		147.56	109.40	117.35		118.60	91.95	108.10	108.04	115.30	140.15	109.53	125.84	101.28	103.97	144.91	108.81		98.79	97.62	106.27		116.26	136.33	153.09	106.52	109.64	144.82	176.36				
2014M09			134.15		102.92	125.91	400.43	108.27	102.44	128.31	111.32	111.39		95.60		100.28	111.23		122.61	109.71	107.53	108.07	112.08	116.41	112.97	110.26		105.81	106.20	105.47		116.96	105.67	224.45	112.23		109.80	108.84	286.50	101.75	111.53	105.75	106.36	115.22	147.39	105.19		114.32	114.50	111.29	103.22	109.19	96.85	118.12	115.10	108.46	110.31	108.78		145.94	109.71	117.35		119.16	92.68	108.10	107.62	115.08	138.93	109.07	126.34	101.09	104.10	145.07	109.45		98.50	97.62	105.97		116.56	137.49	156.79	106.43	109.14	147.47	178.62				
2014Q4	101.90	106.43	133.78	107.60	102.51	101.51	406.66	106.17	103.92	129.38	110.63	109.86		94.25	101.56		111.76		122.53	108.37	106.35	106.74	109.17	114.79	112.90	108.65		105.05	104.97	105.05		116.82	105.33	225.21	108.44		108.54	111.71	289.23	102.28	110.29	105.06	105.02	112.03	136.52	103.90	113.47	114.20	113.82	105.69	103.29	106.52	97.77	118.03	115.52	108.41	109.77	105.63	106.04	145.20	108.59	115.06	113.44	120.84	91.22	107.00	105.17	114.12		107.68	126.09	100.82	104.05	142.49	107.67		98.37	97.12	104.74	111.47	118.16	137.51	160.11	104.76	108.88	146.59	184.56		109.82		
2014M10			132.22		102.81	114.70	404.79	108.16	102.86	128.82	111.65	110.69		94.30		99.78	111.52		122.54	109.39	107.53	107.65	110.14	114.69	113.03	109.30		105.60	105.80	105.36		116.49	105.57	227.28	110.68		108.83	110.07	287.19	102.18	111.41	105.44	105.33	114.37	142.73	104.45		113.41	113.93	108.79	103.74	107.79	97.04	118.25	115.01	108.46	110.11	107.65		147.60	109.71	117.13		120.73	91.64	107.70	106.69	114.65	139.65	109.62	126.34	100.99	104.08	145.40	108.70		98.69	97.62	105.47		117.86	138.75	155.69	105.53	109.44	148.83	181.46				
2014M11			132.33		102.61	105.23	406.21	106.82	104.33	130.03	111.11	110.29		94.21		99.28	110.79		122.50	108.54	105.71	107.02	109.60	114.88	112.74	108.54		105.29	105.30	105.26		115.60	105.57	225.28	109.11		108.39	110.69	288.86	102.60	110.40	105.23	105.12	112.09	136.84	104.13		114.43	113.93	106.69	102.82	107.29	97.42	118.06	115.17	108.46	108.68	106.21		145.38	109.19	113.87		120.95	90.55	107.20	105.45	114.50	138.93	108.69	126.34	101.28	104.00	145.40	107.63		98.30	96.96	104.97		117.86	137.41	162.29	105.13	108.85	145.79	186.06				
2014M12			137.48		102.10	84.60	408.99	103.52	104.33	130.27	109.15	108.59		94.26		98.67	112.98		122.55	107.17	105.81	105.56	107.77	114.78	112.92	108.12		104.25	103.80	104.53		118.37	104.84	223.08	105.52		108.39	114.38	290.81	102.07	109.05	104.51	104.61	109.65	129.98	103.11		114.77	113.59	101.59	103.33	104.49	98.84	117.78	116.37	108.33	107.97	103.02		142.63	106.87	114.19		120.84	91.46	106.10	103.38	113.20	140.25	104.71	125.58	100.20	104.07	145.24	106.67		98.11	96.77	103.77		118.76	136.37	162.29	103.63	108.36	145.15	186.16				
2015	100.73	108.52	129.94	107.52	101.39	88.57	452.05	103.14		136.08	108.60	110.32		91.75	100.45		114.77		123.17	105.69	101.34	104.38	107.67	116.24	112.29	107.26	177.17	103.96	103.59	103.81		124.24	103.91	232.82	104.58		107.86	110.16	272.13	106.21	104.83	102.96	102.67	103.88	114.22	100.95	113.82	122.43	113.02	100.89	102.10	102.20	95.03	120.71	117.94	108.37	107.49	102.92	105.13	149.39	105.39	108.96	96.33	122.56	85.72	105.57	103.49	112.56	156.61	103.58	126.59	98.83	103.46	136.50	106.78		98.01	94.24	102.60	114.02	121.34	142.93	196.09	99.74	107.99	151.27	197.46	132.35	109.92		103.10
2015Q1	101.50	106.99	136.25	106.87	101.73	80.75	432.07	102.94	104.30	130.85	109.44	109.76		91.45	102.46		111.45		123.48	106.08	103.31	104.62	108.42	116.19	112.74	107.87		104.15	103.80	104.36		120.73	104.01	222.87	105.75		106.99	113.99	290.02	104.83	105.94	103.48	103.35	104.32	111.38	101.85	113.67	118.44	113.74	101.32	103.36	104.16	96.82	119.76	116.47	108.48	106.55	102.50	104.83	146.82	106.38	111.00	109.97	120.24	88.11	105.73	103.83	113.19		103.57	125.75	99.04	103.78	141.91	106.57		99.02	96.30	102.67	113.55	119.83	138.39	177.39	102.24	107.74	144.62	189.80		109.69		
2015M01			137.79		101.50	67.03	421.35	101.46	104.33	129.75	107.74	108.29		90.91		97.57	111.53		123.38	104.63	104.39	104.52	107.12	115.12	112.84	107.79		103.53	102.90	103.60		119.27	103.70	220.15	103.09		107.96	114.58	290.81	102.60	106.02	103.07	103.28	104.82	116.53	101.85		116.95	113.82	98.49	103.61	104.09	97.70	119.64	116.11	108.46	105.31	101.06		145.82	106.97	108.96		120.50	88.90	105.70	103.17	112.89	142.90	103.69	125.08	99.31	103.78	143.61	106.25		98.20	96.68	102.27		119.16	136.81	165.98	102.14	107.77	144.79	189.14				
2015M02			136.34		101.80	81.44	435.45	102.80	104.54	130.68	109.37	110.39		90.73		96.87	109.33		123.53	106.11	104.39	104.41	108.31	116.34	112.56	107.58		104.25	104.14	104.64		120.84	104.01	223.17	107.40		106.35	112.33	288.58	104.73	105.00	103.69	103.28	102.76	106.88	101.92		121.98	113.70	100.69	103.26	104.59	96.18	119.52	116.20	108.46	105.11	102.61		147.11	105.92	111.25		120.28	87.57	105.59	103.79	113.46	145.84	101.93	125.71	98.52	103.57	144.10	106.46		99.28	96.02	102.87		119.96	138.46	173.97	101.94	107.57	144.25	189.97				
2015M03			135.34		101.90	93.79	439.43	104.55	103.80	133.11	111.21	110.59		92.72		96.87	113.48		123.52	107.49	101.15	104.93	109.82	117.11	112.82	108.22		104.67	104.66	104.84		122.08	104.32	225.28	108.24		106.67	115.05	289.83	107.17	106.80	103.69	103.48	104.76	110.73	101.80		116.38	113.70	103.29	103.22	103.79	96.56	120.11	117.10	108.53	106.74	103.84		147.53	106.24	112.78		119.94	87.87	105.70	104.52	114.02	154.38	105.08	126.47	99.31	103.99	146.54	106.99		99.58	96.21	102.87		120.36	139.91	192.17	102.63	107.87	144.81	190.29				
2015Q2	101.80	108.20	134.47	108.11	102.00	103.73	446.80	105.31	103.75	133.28	110.63	110.29		92.60	101.86		112.68		123.70	107.31	100.98	105.56	107.98	116.23	112.46	107.58		104.88	104.66	104.46		126.11	104.42	235.98	108.36		108.36	114.04	294.43	106.85	106.73	103.79	103.58	106.33	111.41	101.79	114.07	120.44	113.55	104.70	102.44	101.96	94.44	120.07	117.35	108.41	107.74	105.45	104.52	150.55	107.08	112.81	93.89	121.02	85.31	105.80	105.07	113.45		105.58	127.36	99.60	104.09	145.85	107.99		99.05	94.07	103.57	113.74	121.03	143.08	199.73	100.91	108.26	147.24	193.97		108.06		
2015M04			134.43		102.00	98.69	443.06	104.86	103.70	133.41	110.34	109.69		92.02		96.57	111.94		123.63	106.85	100.84	105.35	107.77	116.11	112.87	107.58		104.88	105.07	104.74		124.86	104.53	231.48	108.55		106.56	114.17	290.53	108.55	106.58	103.69	103.48	105.59	108.77	101.76		122.32	113.48	104.09	101.94	103.09	94.28	119.94	117.30	108.46	106.44	104.97		147.94	106.66	112.78		120.28	85.19	105.28	105.04	113.34	158.65	104.99	126.72	99.31	104.30	147.84	107.53		99.28	94.61	102.77		120.76	141.91	199.87	102.54	107.87	146.53	191.87				
2015M05			136.91		102.00	107.78	446.61	105.79	103.70	133.41	111.21	110.29		93.42		96.47	111.91		123.77	107.59	101.15	105.77	108.95	115.31	112.35	107.47		104.88	104.87	104.22		125.89	104.42	233.14	109.39		108.50	114.17	293.45	106.21	107.03	103.90	103.69	105.51	111.15	101.83		119.38	113.37	104.49	102.84	101.59	94.57	120.01	117.14	108.46	107.05	105.69		151.66	107.18	112.67		121.29	85.31	105.70	105.14	113.68	156.52	105.54	127.48	99.90	104.09	148.99	107.85		99.48	93.85	103.97		121.06	143.48	199.07	100.34	108.26	146.82	194.63				
2015M06			132.77		102.00	104.73	450.74	105.28	103.59	134.03	110.34	110.89		92.36		96.06	114.19		123.70	107.49	100.95	105.56	107.23	117.26	112.16	107.69		104.88	104.35	104.43		127.57	104.32	243.30	108.66		110.01	113.76	298.45	105.79	106.58	103.79	103.58	107.26	114.31	101.78		119.62	113.82	103.99	102.55	101.19	94.47	120.27	117.61	108.33	107.25	105.69		152.06	107.40	112.99		121.51	85.44	106.23	105.04	114.13	157.74	106.19	127.86	99.60	103.88	149.47	108.60		98.40	93.76	103.97		121.26	143.85	200.17	99.84	108.65	148.38	195.41				
2015Q3	100.00	108.75	128.90	108.01	101.39	88.46	458.74	103.11	103.26	136.87	108.32	111.26		92.13	99.25		117.16		123.23	105.41	101.55	104.34	107.41	117.84	112.31	107.15		103.98	103.46	103.53		125.06	103.94	235.03	103.59		108.75	108.36	299.57	105.68	104.74	102.80	102.56	104.21	112.18	100.84	113.77	121.52	112.84	99.65	102.12	100.99	94.03	121.15	118.68	108.31	106.31	103.16	106.24	151.65	105.04	107.22	94.52	123.11	84.71	105.42	103.59	112.66		103.94	127.02	99.01	103.37	147.07	107.35		97.32	93.19	102.51	114.09	121.99	145.07	203.79	98.28	108.46	156.15	198.29		109.99		
2015M07			130.29		101.80	98.35	452.95	104.24	103.59	134.99	109.91	111.69		91.37		95.46	115.61		123.47	106.64	101.86	105.14	106.91	116.65	112.41	106.83		104.67	104.56	104.33		124.67	104.32	239.59	106.87		109.26	110.94	297.90	105.89	106.24	103.28	103.17	106.68	113.21	101.40		120.99	113.37	101.89	103.23	101.09	94.09	120.45	118.28	108.26	106.64	104.97		151.98	105.92	110.49		122.07	84.71	105.81	105.24	113.57	159.97	105.54	127.48	99.51	103.78	149.80	108.70		97.22	93.57	103.07		121.86	143.39	204.17	98.94	108.85	151.82	197.50				
2015M08			128.90		101.29	82.82	456.84	102.49	103.28	136.29	107.63	111.29		91.90		94.66	117.94		123.48	105.16	101.86	104.31	107.66	118.60	112.36	107.47		103.84	103.42	103.18		126.07	103.91	230.41	102.99		108.72	108.53	300.40	106.21	104.56	102.66	102.46	103.81	110.96	100.78		117.95	112.69	98.59	101.47	100.29	93.81	121.36	118.66	108.33	105.62	102.81		151.72	104.87	105.69		123.08	84.71	105.17	103.17	112.78	160.68	103.78	127.10	99.11	103.37	149.96	107.10		97.52	93.00	102.27		122.16	144.80	203.57	97.75	108.56	159.35	198.25				
2015M09			128.17		101.09	84.23	466.43	102.59	102.65	140.37	107.41	110.79		93.13		94.26	117.93		122.74	104.42	100.95	103.58	107.66	118.27	112.17	107.15		103.42	102.69	103.08		124.46	103.59	235.10	102.36		108.29	105.61	299.57	104.94	103.43	102.45	102.04	101.51	112.38	100.33		125.62	112.46	96.99	101.65	101.59	94.19	121.66	119.09	108.33	104.19	101.68		151.25	104.34	105.48		124.20	84.71	105.07	102.35	112.44	159.06	102.49	126.47	98.42	102.95	150.29	106.25		97.22	93.00	102.17		121.96	147.01	203.57	98.15	107.97	157.26	199.13				
2015Q4	99.60	110.11	125.84	107.08	100.41	81.34	470.57	101.19	102.49	141.92	106.00	109.99		90.82	98.24		117.78		122.26	103.96	99.53	102.98	106.87	114.72	111.65	106.44		102.83	101.80	102.91		125.06	103.25	237.39	100.28		107.35	104.26	300.69	107.49	101.89	101.77	101.19	100.50	121.91	99.31	113.77	129.31	111.93	95.90	100.48	101.69	94.85	121.87	119.25	108.28	104.97	100.55	104.93	148.52	103.07	104.82	86.98	125.88	84.75	105.17	101.48	111.65		101.22	126.22	97.66	102.61	148.83	105.21		96.64	93.38	101.64	114.71	122.53	145.17	203.13	97.55	107.51	157.06	207.76		111.93		
2015M10			125.19		100.68	85.26	467.36	102.29	102.23	142.84	106.54	110.29		92.48		93.96	116.79		122.60	104.63	100.95	103.37	108.09	115.56	111.78	107.04		103.01	102.49	103.18		126.14	103.39	233.87	101.83		107.42	104.38	300.26	102.60	102.53	102.25	101.33	100.96	118.45	99.65		125.99	111.78	95.99	101.70	102.59	94.19	121.82	119.00	108.26	104.30	100.86		147.85	103.71	106.13		125.21	84.65	105.17	101.93	111.99	162.00	101.28	125.96	98.02	102.95	151.59	105.50		96.93	93.29	102.17		122.26	146.72	202.77	98.15	107.87	158.54	205.60				
2015M11			126.09		100.48	79.21	474.49	101.77	102.86	142.25	106.33	109.99		90.88		93.45	117.38		122.16	104.21	98.82	103.05	106.26	114.60	111.74	106.61		103.11	102.18	103.29		125.11	103.39	232.12	101.73		107.53	104.79	300.26	110.04	101.86	101.84	101.33	100.13	123.49	99.25		133.23	112.12	96.19	100.62	101.59	94.85	121.91	119.15	108.33	104.09	101.17		149.52	103.07	106.56		125.54	84.89	105.17	101.62	111.99	160.99	101.28	126.22	97.73	102.54	151.76	105.39		96.83	93.57	101.77		122.76	144.63	202.97	97.35	107.47	157.93	205.80				
2015M12			126.88		100.08	79.55	469.85	99.50	102.13	141.74	105.13	109.69		89.10		92.85	119.17		122.03	103.05	98.82	102.53	106.26	113.99	111.44	105.65		102.38	101.04	102.25		123.94	102.97	246.19	98.68		107.10	103.61	300.68	109.82	101.29	101.22	100.92	99.80	123.80	99.02		128.71	111.90	94.10	99.11	100.89	95.52	121.87	119.60	108.26	104.09	99.62		148.18	102.44	101.77		126.89	84.71	104.96	100.90	111.76	157.33	101.10	126.47	97.23	102.33	152.08	104.75		96.15	93.29	100.97		122.56	144.15	203.57	97.15	107.18	154.72	211.87				
2016	99.25	112.98	131.90	109.82	99.54	112.97	506.51	101.66		141.41	105.22	110.10		91.11	101.78		120.97		121.87	101.50	97.17	100.98	106.16	116.31	111.29	106.50	182.56	101.96	101.21	101.50		124.09	102.61	258.28	98.55		106.03	101.25	281.78	106.67	101.03	100.98	99.08	94.77	133.45	99.11	113.75	130.27	110.29	96.48	100.90	101.12	94.87	120.84	124.63	107.93	109.22	100.36	105.61	149.65	102.13	100.22	78.06	128.66	81.63	105.27	100.72	110.54	163.37	98.64	127.10	94.89	102.06	146.17	103.87		97.10	92.83	101.39	115.35	123.05	149.07	237.11	101.70	108.45	156.34	229.62	131.54	111.85		100.84
2016Q1	97.40	112.72	130.89	109.46	98.93	88.67	497.42	97.06	100.98	141.19	104.12	109.29		90.00	99.65		119.48		121.88	101.46	96.32	100.44	104.61	116.73	111.24	106.29		101.00	100.21	100.90		124.67	102.17	256.22	95.44		105.20	102.87	299.34	106.92	99.91	100.26	99.55	93.58	119.15	98.47	113.17	131.29	110.80	92.96	100.25	99.59	95.23	119.75	121.40	107.95	104.59	98.01	103.91	146.52	101.18	95.96	75.15	127.56	82.31	104.11	99.83	109.99		98.69	125.75	94.96	101.95	152.72	101.90		95.43	92.88	100.01	114.60	122.26	144.94	206.19	97.91	107.74	157.59	218.55		110.22		
2016M01			129.15		99.37	81.75	485.27	97.13	101.81	142.71	104.05	110.19		89.30		92.85	118.99		122.17	101.78	97.09	100.86	104.86	117.25	111.30	107.69		101.34	101.14	101.21		124.15	102.45	255.57	95.43		106.13	103.56	298.87	107.49	100.62	100.50	99.79	96.10	121.42	98.49		128.56	111.67	93.00	101.65	99.49	95.71	119.63	120.65	107.93	103.89	98.28		146.28	101.28	97.30		127.67	82.45	104.43	100.69	110.97	154.79	99.43	125.96	96.25	102.13	154.53	102.40		95.16	93.19	99.88		122.66	144.94	201.37	97.55	107.77	156.07	214.28				
2016M02			131.52		98.66	84.46	503.86	96.41	101.19	141.80	103.50	109.19		89.58		92.47	119.47		121.84	100.72	96.89	100.23	105.08	114.92	111.14	105.22		100.72	99.59	100.59		125.52	102.03	255.52	95.11		104.62	102.27	298.31	107.17	99.61	100.09	99.48	92.66	116.28	98.49		131.46	110.65	91.60	100.77	99.59	95.14	119.51	121.74	107.99	103.79	97.46		145.38	100.76	94.69		127.56	82.70	104.01	99.45	109.61	152.96	98.69	125.08	94.47	101.92	155.83	101.44		95.16	92.72	99.78		122.36	144.65	204.47	97.65	107.67	156.91	219.06				
2016M03			132.70		98.76	99.79	503.14	97.65	100.26	140.11	104.81	108.49		91.15		93.04	119.97		121.64	101.88	94.97	100.23	103.89	118.01	111.30	105.97		100.93	100.21	100.90		124.36	102.03	257.57	97.11		104.84	102.79	299.98	106.11	99.50	100.19	99.38	91.40	119.76	98.43		133.86	110.09	92.90	98.31	99.69	94.85	120.10	121.82	107.93	103.68	98.28		147.90	101.49	95.89		127.45	81.78	103.70	99.34	110.18	157.63	97.95	126.22	94.17	101.82	156.97	101.87		95.95	92.72	100.37		121.76	145.23	212.67	98.55	107.77	159.78	222.32				
